Plant types,Sites,Age(years),Shoot mass(g),Actual stand density(no./m2),Ann.Rainfall (mm),Ann. Mean Temp.(oC),PET(mm),ALT.(m),LAT.(N  deg.),LON.(E  deg.),Reference
Boreal/alpine Picea-Abies forest,Sichuan,143,410435.4839,0.062,441.57,7.7,844.92,3200,33.55,104.55,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,156,307595.5414,0.0628,406.28,10.01666667,875.01,3190,33.57,104.66,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,162,346897.0588,0.068,484.55,2.483333333,776.37,3200,33.67,104.04,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,171,447011.1732,0.0358,501.16,5.533333333,814.8,3200,33.01,104.03,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,114,175954.7383,0.0707,489.75,4.416666667,819.38,3200,33.38,104.1,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,134,262088.2353,0.068,495.93,1.866666667,769.93,3200,33.42,103.88,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,134,267668.1614,0.0669,495.97,0.608333333,759.31,3421,33.47,103.53,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,169,371437.9085,0.0459,519.85,0.291666667,740.5,3238,33.23,103.7,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,170,427470.5882,0.051,501.16,5.533333333,814.8,3200,33.07,104.12,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,121,325142.2764,0.0492,440.17,6.883333333,847.67,3200,33.6,104.41,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,121,329296.2963,0.054,484.55,2.483333333,776.37,3200,33.63,104.05,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,171,425805.8925,0.0577,484.55,2.483333333,776.37,3200,33.65,104.05,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,169,328108.5271,0.0645,484.55,2.483333333,776.37,3200,33.68,104.03,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,152,328098.8593,0.0526,516.69,1.391666667,762.65,3188,33.17,103.92,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,128,241721.3115,0.0488,461.99,7.433333333,867.37,3200,33.33,104.15,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,138,275648.1481,0.054,501.13,0.25,756.88,3500,33.38,103.32,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,148,276759.8684,0.0608,512.26,-0.166666667,750.83,3500,33.53,103.34,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,148,281443.1487,0.0686,489.68,0.95,776.61,3500,33.55,103.3,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,129,411299.3039,0.0431,504.64,0.6,758.97,3320,33.32,103.61,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,131,309099.0991,0.0666,504.64,0.6,758.97,3371,33.33,103.47,Luo 1996
