site,family,genus,species,height,biomass
Road,Poaceae,Festuca,arizonica,10,0.043
Road,Poaceae,Festuca,arizonica,24,0.118
Road,Poaceae,Festuca,arizonica,29,0.124
Road,Poaceae,Festuca,arizonica,23.1,0.145
Road,Poaceae,Festuca,arizonica,31,0.189
Road,Poaceae,Festuca,arizonica,34.1,0.155
Road,Poaceae,Festuca,arizonica,8,0.04
Road,Poaceae,Festuca,arizonica,20.1,0.094
Road,Poaceae,Festuca,arizonica,10.6,0.099
Road,Poaceae,Festuca,arizonica,9,0.06
Road,Poaceae,Festuca,arizonica,3.6,0.026
Road,Poaceae,Festuca,arizonica,16.4,0.081
Road,Poaceae,Festuca,arizonica,7.2,0.026
Road,Poaceae,Festuca,arizonica,7.9,0.066
Road,Poaceae,Festuca,arizonica,8,0.044
Road,Poaceae,Festuca,arizonica,21.2,0.074
Road,Poaceae,Festuca,arizonica,25.7,0.237
Road,Poaceae,Festuca,arizonica,13.6,0.077
Road,Poaceae,Festuca,arizonica,19.5,0.049
Road,Poaceae,Festuca,arizonica,19.9,0.159
Road,Poaceae,Festuca,arizonica,15.4,0.096
Road,Poaceae,Festuca,arizonica,10.1,0.06
Road,Poaceae,Festuca,arizonica,10.6,0.119
Road,Poaceae,Festuca,arizonica,14.6,0.08
Road,Poaceae,Festuca,arizonica,9.2,0.028
Road,Poaceae,Festuca,arizonica,14.8,0.068
Road,Poaceae,Festuca,arizonica,8.1,0.034
Road,Poaceae,Festuca,arizonica,8.9,0.073
Road,Poaceae,Festuca,arizonica,8.9,0.19
Road,Poaceae,Festuca,arizonica,8.9,0.09
Road,Poaceae,Festuca,arizonica,15,0.055
Road,Poaceae,Festuca,arizonica,23.7,0.187
Road,Poaceae,Festuca,arizonica,21.5,0.093
Road,Poaceae,Festuca,arizonica,22.2,0.389
Road,Poaceae,Festuca,arizonica,9,0.023
Road,Poaceae,Festuca,arizonica,12.1,0.116
Road,Poaceae,Festuca,arizonica,17.5,0.287
Road,Poaceae,Festuca,arizonica,14,0.066
Road,Poaceae,Festuca,arizonica,11,0.082
Road,Poaceae,Festuca,arizonica,11,0.141
Road,Poaceae,Festuca,arizonica,8.6,0.044
Road,Poaceae,Festuca,arizonica,8,0.032
Road,Poaceae,Festuca,arizonica,14.2,0.101
Road,Poaceae,Festuca,arizonica,13.1,0.102
Road,Poaceae,Festuca,arizonica,5.5,0.023
Road,Poaceae,Festuca,arizonica,10.3,0.447
Road,Poaceae,Festuca,arizonica,10.2,0.434
Road,Poaceae,Festuca,arizonica,9.4,0.12
Road,Poaceae,Festuca,arizonica,9.1,0.073
Road,Poaceae,Festuca,arizonica,20.5,0.144
Road,Poaceae,Festuca,arizonica,13.5,0.018
Road,Poaceae,Festuca,arizonica,13.2,0.006
Road,Poaceae,Festuca,arizonica,5.9,0.015
Road,Poaceae,Festuca,arizonica,11.1,0.021
Road,Poaceae,Festuca,arizonica,7,0.039
Road,Poaceae,Festuca,arizonica,12.6,0.15
Road,Poaceae,Festuca,arizonica,8.1,0.034
Road,Poaceae,Festuca,arizonica,14.2,0.019
Road,Poaceae,Festuca,arizonica,5.5,0.023
Road,Poaceae,Festuca,arizonica,16.1,0.032
Road,Poaceae,Festuca,arizonica,13.1,0.023
Road,Poaceae,Festuca,arizonica,13.1,0.055
Road,Poaceae,Festuca,arizonica,17.3,0.052
Road,Poaceae,Festuca,arizonica,9.5,0.038
Road,Poaceae,Festuca,arizonica,8.9,0.028
Road,Poaceae,Festuca,arizonica,9.9,0.011
Road,Poaceae,Festuca,arizonica,6.1,0.049
Road,Poaceae,Festuca,arizonica,11.6,0.015
Road,Poaceae,Festuca,arizonica,15.1,0.038
Road,Poaceae,Festuca,arizonica,7.7,0.02
Road,Poaceae,Festuca,arizonica,7.9,0.026
Road,Poaceae,Festuca,arizonica,13.1,0.042
Road,Poaceae,Festuca,arizonica,9.4,0.045
Road,Poaceae,Festuca,arizonica,11.5,0.149
Road,Poaceae,Festuca,arizonica,13.6,0.013
Road,Poaceae,Festuca,arizonica,11.1,0.022
Road,Poaceae,Festuca,arizonica,5.1,0.023
Road,Poaceae,Festuca,arizonica,7,0.041
Road,Poaceae,Festuca,arizonica,15.8,0.065
Road,Poaceae,Festuca,arizonica,12.3,0.05
Road,Poaceae,Festuca,arizonica,10.1,0.058
Road,Poaceae,Festuca,arizonica,11.6,0.018
