Species,SpCode,Form,Regression,BSD,Ht,Spread,Canopy.diam.NS,Canopy.diam.EW,DryMassForm,DryMassSpecies,DryMass
4,AMDE,Woody,4,4.5,61,68,54,82,344.7312891,252.0649491,252.0649491
4,AMDE,Woody,4,9,74,115,109,121,1424.51942,838.9063207,838.9063207
4,AMDE,Woody,4,5,65,71,69,73,413.5801977,293.6770903,293.6770903
4,AMDE,Woody,4,3.5,52,54,55,53,190.9005502,143.6630666,143.6630666
4,AMDE,Woody,4,6,69,87.5,85,90,656.1268973,451.1051972,451.1051972
4,AMDE,Woody,4,10.5,76,124.5,130,119,1856.975697,1023.660095,1023.660095
4,AMDE,Woody,4,5.5,49,82,80,84,497.344866,307.2618932,307.2618932
4,AMDE,Woody,4,3.5,62,108.5,106,111,468.8771256,466.9811269,466.9811269
4,AMDE,Woody,4,7,54,109.5,108,111,935.3598465,560.09444,560.09444
4,AMDE,Woody,4,6.5,44,72.5,62,83,493.1607737,251.6986159,251.6986159
4,AMDE,Woody,4,10.5,75,95.5,73,118,1342.239579,680.4014692,680.4014692
4,AMDE,Woody,4,5,67,76.5,65,88,456.943131,335.9666018,335.9666018
4,AMDE,Woody,4,6,52,93,83,103,646.0538783,401.2879569,401.2879569
4,AMDE,Woody,4,3,51,86.5,90,83,285.480366,270.8274469,270.8274469
