Field Name,Weight
Odi,1.329
Odi,1.263
Odi,0.8265
Snap,1.6915
Snap,2.0502
Odi,2.0787
Hor,0.985
Odi,1.577
Odi,1.1622
Hor,0.6892
Odi,0.8098
Odi,1.033
Odi,1.202
Bul,1.3823
Odi,0.8071
Odi,1.1122
Odi,0.7485
Odi,1.8996
Fox,1.1294
Odi,1.9262
Odi,1.2419
Odi,1.069
Odi,0.9072
Bul,1.3819
Odi,1.5729
Odi,1.3432
Odi,0.9404
Agr,1.0922
Agr,6
Bone,7.7
Bone,6.6
Odi,1.3
Odi,2.8
Bone,2.6
Psa,32
Odi,2.7
Odi,4.4
Odi,1.4
Odi,2
Odi,2.1
Agr,5.7
Agr,6.7
Psa,9.3
Agr,8.5
Blu,2.6
Sti,0.1392
Fla,0.3002
Red,0.2454
Red,0.2205
Sti,0.1912
Cla,0.0384
Fla,0.0638
Fla,0.0885
Fox,0.3866
Fla,0.2088
Fla,0.2623
Fla,0.0686
Fox,0.109
Fox,0.1408
Red,0.0634
Fla,0.0432
Fla,0.1771
Fla,0.077
Odi,0.2386
Red,0.1526
Fox,0.1947
Fla,0.0113
Fla,0.1515
Fla,0.5326
Fla,0.0521
Fox,0.4916
Fox,0.2603
Fox,0.0818
Fla,0.0741
Gold,0.0709
Fla,0.0416
Fla,0.1257
Red,0.1155
Hor,0.7621
Hor,0.1016
Red,0.1644
Fox,0.0708
Fla,0.1338
Fox,0.5052
Red,0.0285
Fox,0.0485
Red,0.056
Sti,0.1052
Fla,0.0475
Odi,0.1128
Fox,0.2306
Fla,0.1401
Fox,0.7141
Fox,0.0489
Osm,0.1422
Fox,0.1344
Red,0.0576
Fla,0.0321
Agr,0.0156
Fox,0.0558
Fla,0.1117
Fla,0.1001
Dead,0.1177
Red,0.1123
Fla,0.101
Tri,0.1658
Fla,0.316
Fla,0.0994
Red,0.1701
Odi,0.2153
Hor,0.24597
Fla,0.1738
Fla,0.2359
Hor,0.604
Tri,0.0322
Fla,0.137
Str,0.0823
Tri,0.1425
Fla,0.0998
Fox,0.0423
Fla,0.09
Fox,0.4059
Gold,0.0616
Fox,0.0447
Fla,0.1479
Fox,0.3464
Red,0.0482
Fox,0.2272
Red,0.0175
Odi,0.0915
Red,0.0615
Red,0.1388
Fox,0.1326
Tin,0.053
Fox,0.0222
Fox,0.8702
Sti,0.127
Fox,0.1071
Fla,0.0558
Fox,0.3436
Fla,0.176
Odi,0.1758
Fla,0.1102
Red,0.0583
Fla,0.1303
Red,0.042
Fox,0.0231
Red,0.1456
Sti,0.0963
Fox,0.2554
Fla,0.1032
Red,0.1108
Fox,0.6642
Fla,0.1768
Red,0.0103
Dead,0.1154
Fox,0.2503
Fox,0.0399
Fla,0.103
Hor,0.1075
Red,0.1458
Dead,0.1815
Red,0.093
Fla,0.1101
Fla,0.0674
Odi,0.1331
Fox,0.0568
Red,0.0231
Odi,0.0475
Red,0.0482
Fla,0.1716
Fla,0.0776
Odi,2.2989
Fox,0.0508
Fox,0.092
Sti,0.1815
Dead,0.1783
Fox,0.2323
Fox,0.0522
Red,0.0434
Dead,0.0805
Red,0.1754
Fox,0.218
Fox,0.1397
Fox,0.0542
Fox,0.7495
Fox,0.2123
