Field Name,Weight,,,,
Fox,0.1391,652,,,
Red,0.2727,653,,,
Fox,0.4996,654,,,
Fox,0.193,655,,,
Odi,0.3412,656,,,
Fox,0.3815,657,,,
Hor,0.4131,658,,,
Fox,0.4783,659,,,
Odi,0.6856,660,,,
Fox,0.6574,661,,,
Sti,0.3873,662,,,
Odi,0.2694,663,,,
Odi,0.1456,664,,,
Fox,0.3788,665,,,
Fla,0.4418,666,,,
Sti,0.2571,667,,,
Odi,0.1083,668,,,
Odi,0.5693,669,,,
Odi,0.1822,670,,,
Fox,0.5463,671,,,
Fox,0.3002,672,,,
Odi,0.1589,673,,,
Odi,0.1999,674,,,
Dead,0.2478,675,,,
Odi,0.5708,676,,,
Fox,0.1404,677,,,
Odi,0.137,678,,,
Hor,0.3149,679,,,
Odi,0.9029,680,,,
Bul,0.8541,681,,,
Blu,0.5325,682,,,
Odi,0.4329,683,,,
Odi,0.2083,684,,,
Fox,0.182,685,,,
Sti,0.2794,686,,,
Snap,1.6645,687,,,
Hor,1.1558,688,,,
Odi,0.5311,689,,,
Fox,0.8648,690,,,
Odi,0.7875,691,,,
Hor,0.5393,692,,,
Odi,0.9388,693,,,
Odi,0.7684,694,,,
Odi,1.0718,695,,,
Sti,0.8395,696,,,
Odi,0.672,697,,,
Dead,1.1094,698,,,
Odi,0.6015,699,,,
Sti,1.4635,700,,,
Fox,1.015,701,,,
Fox,0.9602,702,,,
Fox,1.7344,703,,,
Fox,1.3105,704,,,
Fox,0.2765,705,,,
Odi,1.4166,706,,,
Hor,0.4143,707,,,
Odi,0.8187,708,,,
Odi,1.351,709,,,
Hor,0.6355,710,,,
Fox,0.8642,711,,,
Fox,0.788,712,,,
Odi,0.5779,713,,,
Odi,0.741,714,,,
Odi,1.0424,715,,,
Fox,1.3883,716,,,
Odi,1.48,717,,,
Odi,1.4246,718,,,
Odi,1.5869,719,,,
Fla,0.1131,720,,,
Red ,0.0376,721,,,
Hor,0.562,722,,,
Fox,0.203,723,,,
Red,0.3513,724,,,
Fla,0.0528,725,,,
Fox,0.6509,726,,,
Fox,0.834,727,,,
Cla,0.2157,728,,,
Tri,0.2342,729,,,
Fox,0.1869,730,,,
Dead,0.2872,731,,,
Fox,0.1048,732,,,
Red,0.3014,733,,,
Cla,0.3033,734,,,
Mint,0.1793,735,,,
Red,0.188,736,,,
Fox,0.2883,737,,,
Fox,0.1409,738,,,
Red,0.1007,739,,,
Tri,0.4395,740,,,
Fla,0.2471,741,,,
Red,0.0945,742,,,
Dead,0.218,743,,,
Hor,0.1001,744,,,
Fox,0.2403,745,,,
Fla,0.3957,746,,,
Fox,0.1741,747,,,
Red,0.0314,748,,,
Dead,0.2023,749,,,
Red,0.1696,750,,,
Fox,0.2738,751,,,
Fox,0.1516,752,,,
Fox,0.333,753,,,
Mint,0.5049,754,,,
Fla,0.0752,755,,,
Red,0.1503,756,,,
Fox,0.1304,757,,,
Fox,0.1228,758,,,
Fox,0.0898,759,,,
Hor,0.473,760,,,
Fla,0.0251,761,,,
Fox,0.4371,762,,,
Fox,0.2655,763,,,
Fox,0.1317,764,,,
Odi,0.0327,765,,,
Dead,0.1944,766,,,
Hor,0.1822,767,,,
Fox,0.1179,768,,,
Bul,0.3883,769,,,
Fox,0.1439,770,,,
Fox,0.1391,771,,,
Fox,0.0958,772,,,
Fox,0.2785,773,,,
Tri,0.1137,774,,,
Fla,0.0389,775,,,
Fox,0.5621,776,,,
Red,0.0072,777,,,
Fla,0.1713,778,,,
Fox,0.2638,779,,,
Odi,0.0367,780,,,
Fox,0.0375,781,,,
Fla,0.2542,782,,,
Hor,0.0652,783,,,
Fox,0.1882,784,,,
Odi,0.0952,785,,,
Cla,0.3119,786,,,
