Plant types,Sites,Age(years),Shoot mass(g),Actual stand density(no./m2),Ann.Rainfall (mm),Ann. Mean Temp.(oC),PET(mm),ALT.(m),"LAT.(N, deg.)","LON.(E, deg.)",Reference
Subtropical Cunninghamia lanceolata forest,Guangxi,22,38014.10106,0.1702,944.89,21.675,1150.26,355,22.55,109.99,Luo 1996
Subtropical montane Cupressus and Sabina forest,Hunan,15,30215.21522,0.1998,881.86,17.76666667,1017.24,200,27.7,113.1,Luo 1996
Subtropical montane Cupressus and Sabina forest,Guizhou,20,26540.15588,0.2951,732.46,14.61666667,884.58,780,28.25,106.44,Luo 1996
Subtropical montane Cupressus and Sabina forest,Sichuan,30,30527.96983,0.3182,594.88,16.4,877.23,484,31.65,105.15,Luo 1996
Subtropical montane Cupressus and Sabina forest,Sichuan,27,51992.59259,0.135,594.88,16.4,877.23,484,31.68,105.18,Luo 1996
Pinus pinaster [a],"Australia, near Perth, Gnangara Plantation",14,119348.47,0.1013,691.22,18.79166667,1704.13,50,31 50'S,115 40'E,Cannell (1982).   Page 19
Pinus pinaster [a],"Australia, near Perth, Gnangara Plantation",14,97828.233,0.1013,691.22,18.79166667,1704.13,51,31 50'S,115 40'E,Cannell (1982).   Page 19
Pinus pinaster,"Australia, SE of Perth",16.5,28666.66667,0.18,933.17,17.21666667,1587.62,100,32 28'S,115 50'E,Cannell (1982).   Page 20
Pinus pinaster,"Australia, SE of Perth",16.5,15777.77778,0.18,933.17,17.21666667,1587.62,101,32 28'S,115 50'E,Cannell (1982).   Page 20
Pinus radiata,"Austrailia, New South Wales, Tumut",7,34499.3141,0.1458,691.22,18.79166667,1704.13,200-502,32 20'S,148 14'E,Cannell (1982).   Page 21
Pinus radiata,"Austrailia, New South Wales, Tumut",9,49319.7279,0.147,933.17,17.21666667,1587.62,200-503,32 20'S,148 14'E,Cannell (1982).   Page 21
Pinus radiata,"Austrailia, New South Wales, Tumut",12,75448.7179,0.156,933.17,17.21666667,1587.62,200-504,32 20'S,148 14'E,Cannell (1982).   Page 21
Pseudotsuga menziesii,"Austrailia, New South Wales, near Tumut",50,364144.144,0.111,446.51,17.95,1709.55,680,36 06'S,141 01'E,Cannell (1982).   Page 22
"Fagus sylvatica with Quercus robur, Quercus petraea, Carpinus betulus, Acer campestre et al.","Belgium, Mirwart",144,2326875,0.016,1068.93,8.183333333,608.61,350-400,50 01'N,5 14'E,Cannell (1982).   Page 24
"Fagus sylvatica with Quercus robur, Quercus petraea, Carpinus betulus, Acer campestre et al.","Belgium, Mirwart",130,1783684.21,0.019,1068.93,8.183333333,608.61,350-401,50 01'N,5 14'E,Cannell (1982).   Page 24
Picea abies,"Belgium, Mirwart",55,191046.183,0.1061,1068.93,8.183333333,608.61,340-400,50 02-03'N,5 16'E,Cannell (1982).   Page 29
Pseudotsuga menziesii with a few Fagus sylvatica,"Belgium, Mirwart",70,1860368.66,0.0217,1068.93,8.183333333,608.61,340-401,50 02-03'N,5 16'E,Cannell (1982).   Page 29
Fagus sylvatica,"Bulgaria, W. Balkan  Mountains",100,76589.1473,0.258,530.175,10.49583333,905.54,1400-1600,42-43 N,23-25 E,Cannell (1982).   Page 31
Fagus sylvatica,"Bulgaria, W. Balkan  Mountains",100,157250,0.2,530.175,10.49583333,905.54,1400-1601,42-43 N,23-25 E,Cannell (1982).   Page 31
Fagus sylvatica,"Bulgaria, W. Balkan  Mountains",100,348750,0.12,530.175,10.49583333,905.54,1400-1602,42-43 N,23-25 E,Cannell (1982).   Page 31
Fraxinus excelsior,"Denmark, Soro, Lille Bogeskov",12,5226.415094,0.53,547.91,8.166666667,549.59,25,55 26'N,11 34'E,Cannell (1982).   Page 60
Fraxinus excelsior,"Denmark, Soro, Lille Bogeskov",14,8925,0.4,547.91,8.166666667,549.59,25,55 26'N,11 34'E,Cannell (1982).   Page 60
Picea abies,"Germany, Federal Republic, 55 km NW of G_ttingen, Solling plateau",34,102483.221,0.149,753.75,8.004166667,611.44,390,51 44-49'N,9 34-35'E,Cannell (1982).   Page 73
Picea abies,"Germany, Federal Republic, 55 km NW of G_ttingen, Solling plateau",87,410756.303,0.0595,753.75,8.004166667,611.44,505,51 44-49'N,9 34-35'E,Cannell (1982).   Page 73
Picea abies,"Germany, Federal Republic, 55 km NW of G_ttingen, Solling plateau",115,777000,0.03,753.75,8.004166667,611.44,440,51 44-49'N,9 34-35'E,Cannell (1982).   Page 73
Picea abies,"Germany, Federal Republic, near MÙnich Eberberger Forest",76,402750,0.08,806.78,8.291666667,677.75,600,48 04'N,11 59'E,Cannell (1982).   Page 73
Eucalyptus tereticornis,"India, Uttar Pradesh",5,42215.5689,0.167,-9999,-9999,-9999,200-400,29 N,77 W,Cannell (1982).   Page 78
