site,family,genus,species,height,biomass
CBT,Poaceae,Poa,pratensis,18.4,0.195
CBT,Poaceae,Poa,pratensis,15.8,0.805
CBT,Poaceae,Poa,pratensis,22,0.489
CBT,Poaceae,Poa,pratensis,35.6,0.647
CBT,Poaceae,Poa,pratensis,29.4,0.438
CBT,Poaceae,Poa,pratensis,20,0.342
CBT,Poaceae,Poa,pratensis,66.9,1.08
CBT,Poaceae,Poa,pratensis,28.4,0.69
CBT,Poaceae,Poa,pratensis,38.1,0.587
CBT,Poaceae,Poa,pratensis,19,0.059
CBT,Poaceae,Poa,pratensis,19.5,0.268
CBT,Poaceae,Poa,pratensis,11.5,0.136
CBT,Poaceae,Poa,pratensis,15.5,0.391
CBT,Poaceae,Poa,pratensis,25.1,0.343
CBT,Poaceae,Poa,pratensis,34.8,0.282
CBT,Poaceae,Poa,pratensis,24.5,0.411
CBT,Poaceae,Poa,pratensis,30.3,0.405
CBT,Poaceae,Poa,pratensis,34.3,1.445
CBT,Poaceae,Poa,pratensis,31.4,0.934
CBT,Poaceae,Poa,pratensis,25,0.517
CBT,Poaceae,Poa,pratensis,30.9,0.726
CBT,Poaceae,Poa,pratensis,9,0.122
CBT,Poaceae,Poa,pratensis,35,0.727
CBT,Poaceae,Poa,pratensis,32.3,1.238
CBT,Poaceae,Poa,pratensis,25.7,0.806
CBT,Poaceae,Poa,pratensis,21.3,1.065
CBT,Poaceae,Poa,pratensis,18.4,0.193
CBT,Poaceae,Poa,pratensis,21.5,0.869
CBT,Poaceae,Poa,pratensis,28.4,1.765
CBT,Poaceae,Poa,pratensis,36,2.087
CBT,Poaceae,Poa,pratensis,28.2,1.302
CBT,Poaceae,Poa,pratensis,21.5,0.256
CBT,Poaceae,Poa,pratensis,11.7,0.618
CBT,Poaceae,Poa,pratensis,9.3,0.138
CBT,Poaceae,Poa,pratensis,25,0.376
CBT,Poaceae,Poa,pratensis,32.4,0.529
CBT,Poaceae,Poa,pratensis,23.7,0.738
CBT,Poaceae,Poa,pratensis,25.9,0.822
CBT,Poaceae,Poa,pratensis,39.7,1.804
CBT,Asteraceae,Taraxacum, officinale,10.6,0.07
CBT,Asteraceae,Taraxacum, officinale,15,1.407
CBT,Asteraceae,Taraxacum, officinale,20,1.146
CBT,Asteraceae,Taraxacum, officinale,5.2,0.046
CBT,Asteraceae,Taraxacum, officinale,5,0.061
CBT,Asteraceae,Taraxacum, officinale,9.7,0.134
CBT,Asteraceae,Taraxacum, officinale,6.3,0.058
CBT,Asteraceae,Taraxacum, officinale,8.2,0.186
CBT,Asteraceae,Taraxacum, officinale,2.9,0.016
CBT,Asteraceae,Taraxacum, officinale,12.2,0.992
CBT,Brassicacea,Thlaspi,montanum,16.4,0.162
CBT,Brassicacea,Thlaspi,montanum,17,0.086
CBT,Brassicacea,Thlaspi,montanum,12.9,0.09
CBT,Brassicacea,Thlaspi,montanum,5.4,0.019
CBT,Brassicacea,Thlaspi,montanum,6.8,0.07
CBT,Brassicacea,Thlaspi,montanum,12,0.06
CBT,Brassicacea,Thlaspi,montanum,22.7,0.321
CBT,Brassicacea,Thlaspi,montanum,7.7,0.026
CBT,Brassicacea,Thlaspi,montanum,5.9,0.013
CBT,Brassicacea,Thlaspi,montanum,12.4,0.065
CBT,Brassicacea,Thlaspi,montanum,8.2,0.032
CBT,Brassicacea,Thlaspi,montanum,7.5,0.032
CBT,Brassicacea,Thlaspi,montanum,5.4,0.013
CBT,Brassicacea,Thlaspi,montanum,12.2,0.072
CBT,Brassicacea,Thlaspi,montanum,20.4,0.153
CBT,Brassicacea,Thlaspi,montanum,12.9,0.048
CBT,Brassicacea,Thlaspi,montanum,18.4,0.163
CBT,Brassicacea,Thlaspi,montanum,16,0.102
CBT,Brassicacea,Thlaspi,montanum,10.3,0.047
CBT,Brassicacea,Thlaspi,montanum,8.8,0.023
CBT,Brassicacea,Thlaspi,montanum,12.3,0.058
CBT,Brassicacea,Thlaspi,montanum,11.5,0.074
CBT,Brassicacea,Thlaspi,montanum,10.8,0.029
CBT,Brassicacea,Thlaspi,montanum,15,0.231
CBT,Brassicacea,Thlaspi,montanum,8.5,0.027
CBT,Brassicacea,Thlaspi,montanum,16.3,0.115
CBT,Brassicacea,Thlaspi,montanum,8.8,0.045
CBT,Brassicacea,Thlaspi,montanum,8,0.022
CBT,Brassicacea,Thlaspi,montanum,11.7,0.08
CBT,Brassicacea,Thlaspi,montanum,13.9,0.133
CBT,Brassicacea,Thlaspi,montanum,10.6,0.107
CBT,Brassicacea,Thlaspi,montanum,20.2,0.143
CBT,Brassicacea,Thlaspi,montanum,14,0.053
CBT,Brassicacea,Thlaspi,montanum,13.3,0.088
CBT,Brassicacea,Thlaspi,montanum,15,0.132
CBT,Brassicacea,Thlaspi,montanum,13.2,0.073
CBT,Brassicacea,Thlaspi,montanum,10.5,0.056
CBT,Brassicacea,Thlaspi,montanum,14.9,0.243
